# solver	iter	edge-exp-congestion
		(s6,s3) : 0.314637886882
		(s6,s7) : 0.226812180372
		(s6,h6) : 0.000286080824981
		(s7,s4) : 0.198016533959
		(s7,s5) : 0.10137949254
		(s7,s6) : 0.288849596961
		(s7,h7) : 0.000112067950716
		(s8,s5) : 0.312225847744
		(s8,s10) : 0.0861930439364
		(s8,h8) : 0.00024522620216
		(s9,s3) : 0.359213816872
		(s9,s12) : 0.266847047954
		(s9,h9) : 0.000351452506259
		(s10,s4) : 0.0293221851438
		(s10,s8) : 0.0560599962159
		(s10,s11) : 0.0396942056881
		(s10,h10) : 5.20568235293e-05
		(s11,s4) : 0.0759248770195
		(s11,s10) : 0.0245667532666
		(s11,h11) : 0.00013863091896
		(s12,s2) : 0.552031896015
		(s12,s9) : 0.360850215629
		(s12,h12) : 0.000373917554418
		(h1,s1) : 8.48154086123e-06
		(h2,s2) : 0.000174215939691
		(h3,s3) : 0.00012479166011
		(h4,s4) : 0.000169750732183
		(h5,s5) : 0.000101633709917
		(h6,s6) : 0.000222917941362
		(h7,s7) : 0.000100166689754
		(h8,s8) : 0.000327673630541
		(h9,s9) : 0.000467309625446
		(h10,s10) : 3.13594057361e-05
		(h11,s11) : 0.000100491630286
		(h12,s12) : 0.000669677334775
ecmp	15	
		(s1,s2) : 0.0058252675881
		(s1,h1) : 1.39301431278e-05
		(s2,s1) : 0.0139301431278
		(s2,s5) : 0.316748673582
		(s2,s6) : 0.268034367279
		(s2,s12) : 0.366068017408
		(s2,h2) : 0.000258227114926
		(s3,s6) : 0.208103551442
		(s3,s9) : 0.151414490243
		(s3,h3) : 0.000456324007015
		(s4,s7) : 0.234734819978
		(s4,s10) : 0.0334147046009
		(s4,s11) : 0.110178711017
		(s4,h4) : 0.000111167298888
		(s5,s2) : 0.337031678766
		(s5,s7) : 0.146024150045
		(s5,s8) : 0.237907599216
		(s5,h5) : 8.51030794208e-05
		(s6,s2) : 0.170907988697
		(s6,s3) : 0.324244586527
		(s6,s7) : 0.227939008565
		(s6,h6) : 0.000279533106312
		(s7,s4) : 0.204392865832
		(s7,s5) : 0.0983714275558
		(s7,s6) : 0.295992037828
		(s7,h7) : 0.000110425965138
		(s8,s5) : 0.307057397152
		(s8,s10) : 0.0873001616746
		(s8,h8) : 0.000219569294825
		(s9,s3) : 0.374146086971
		(s9,s12) : 0.266240658363
		(s9,h9) : 0.000349948608478
		(s10,s4) : 0.0263722009957
		(s10,s8) : 0.0521027336617
		(s10,s11) : 0.0429262833794
		(s10,h10) : 5.02166864077e-05
		(s11,s4) : 0.0796889934191
		(s11,s10) : 0.0243359550834
		(s11,h11) : 0.000153104994396
		(s12,s2) : 0.53225390315
		(s12,s9) : 0.367881682615
		(s12,h12) : 0.000406367773637
		(h1,s1) : 5.8252675881e-06
		(h2,s2) : 0.000176989478121
		(h3,s3) : 0.000117451375201
		(h4,s4) : 0.000179041474238
		(h5,s5) : 8.38890091578e-05
		(h6,s6) : 0.000230494733552
		(h7,s7) : 0.000100484317765
		(h8,s8) : 0.000323916520774
		(h9,s9) : 0.000471039180954
		(h10,s10) : 2.65670830856e-05
		(h11,s11) : 0.000104024948502
		(h12,s12) : 0.000674194683632
ecmp	16	
		(s1,s2) : 0.00538910796742
		(s1,h1) : 1.22570581436e-05
		(s2,s1) : 0.0122570581436
		(s2,s5) : 0.336906201973
		(s2,s6) : 0.27669657749
		(s2,s12) : 0.345605412746
		(s2,h2) : 0.000310932745834
		(s3,s6) : 0.225780494635
		(s3,s9) : 0.153129754091
		(s3,h3) : 0.000454515060683
		(s4,s7) : 0.219784392458
		(s4,s10) : 0.0325197120259
		(s4,s11) : 0.104313958776
		(s4,h4) : 0.000122543437764
		(s5,s2) : 0.32317626249
		(s5,s7) : 0.142938260358
		(s5,s8) : 0.260422258075
		(s5,h5) : 9.21975494846e-05
		(s6,s2) : 0.18613187458
		(s6,s3) : 0.330543534234
		(s6,s7) : 0.237617859737
		(s6,h6) : 0.000285486511812
		(s7,s4) : 0.209815831981
		(s7,s5) : 0.102788609026
		(s7,s6) : 0.28462738706
		(s7,h7) : 0.000106027572667
		(s8,s5) : 0.29302378923
		(s8,s10) : 0.0807654204426
		(s8,h8) : 0.00024783793365
		(s9,s3) : 0.365027711417
		(s9,s12) : 0.273293072457
		(s9,h9) : 0.000340240042979
		(s10,s4) : 0.0270526765784
		(s10,s8) : 0.0536242541953
		(s10,s11) : 0.0390958991233
		(s10,h10) : 4.5453239046e-05
		(s11,s4) : 0.0794210337516
		(s11,s10) : 0.0252274250322
		(s11,h11) : 0.000143409857899
		(s12,s2) : 0.546422607427
		(s12,s9) : 0.346735354712
		(s12,h12) : 0.000371353085513
		(h1,s1) : 5.38910796742e-06
		(h2,s2) : 0.000221278143724
		(h3,s3) : 0.000137854063759
		(h4,s4) : 0.000162871958713
		(h5,s5) : 8.60157301774e-05
		(h6,s6) : 0.000252675321177
		(h7,s7) : 0.000102918888181
		(h8,s8) : 0.000307580631053
		(h9,s9) : 0.00047869571805
		(h10,s10) : 2.67135114422e-05
		(h11,s11) : 0.000104648458784
		(h12,s12) : 0.000645612562448
ecmp	17	
		(s1,s2) : 0.0061557562972
		(s1,h1) : 1.19356014108e-05
		(s2,s1) : 0.0119356014108
		(s2,s5) : 0.395144889241
		(s2,s6) : 0.262987118832
		(s2,s12) : 0.36151893201
		(s2,h2) : 0.000310075820312
		(s3,s6) : 0.2088230443
		(s3,s9) : 0.152724842106
		(s3,h3) : 0.000448254420137
		(s4,s7) : 0.214343847467
		(s4,s10) : 0.0402066289385
		(s4,s11) : 0.10539951514
		(s4,h4) : 0.000108227422995
		(s5,s2) : 0.35019314659
		(s5,s7) : 0.149047196082
		(s5,s8) : 0.360408592057
		(s5,h5) : 8.55405835881e-05
		(s6,s2) : 0.200023700674
		(s6,s3) : 0.341873421917
		(s6,s7) : 0.235711670713
		(s6,h6) : 0.000264916072836
		(s7,s4) : 0.201482724643
		(s7,s5) : 0.117268165304
		(s7,s6) : 0.287475389967
		(s7,h7) : 0.000104376546738
		(s8,s5) : 0.271526855274
		(s8,s10) : 0.0819769712107
		(s8,h8) : 0.000355759122868
		(s9,s3) : 0.338830963522
		(s9,s12) : 0.277743196959
		(s9,h9) : 0.000346111887644
		(s10,s4) : 0.0232122430453
		(s10,s8) : 0.0658850520046
		(s10,s11) : 0.0397763560878
		(s10,h10) : 5.05480229259e-05
		(s11,s4) : 0.0824947619272
		(s11,s10) : 0.0317183019635
		(s11,h11) : 0.000145175871228
		(s12,s2) : 0.569384694075
		(s12,s9) : 0.343745243128
		(s12,h12) : 0.000372156807333
		(h1,s1) : 6.1557562972e-06
		(h2,s2) : 0.000215905064171
		(h3,s3) : 0.000129097921103
		(h4,s4) : 0.000160987684925
		(h5,s5) : 0.000161249608497
		(h6,s6) : 0.000283239313041
		(h7,s7) : 0.00011150011239
		(h8,s8) : 0.000282969305292
		(h9,s9) : 0.000466215962892
		(h10,s10) : 2.55197719509e-05
		(h11,s11) : 0.000114213063891
		(h12,s12) : 0.000646024615566
ecmp	18	
		(s1,s2) : 0.0087406667769
		(s1,h1) : 1.11502415836e-05
		(s2,s1) : 0.0111502415836
		(s2,s5) : 0.367419264121
		(s2,s6) : 0.271862573044
		(s2,s12) : 0.355580694775
		(s2,h2) : 0.000302292915508
		(s3,s6) : 0.213299021423
		(s3,s9) : 0.154465996971
		(s3,h3) : 0.000448905664186
		(s4,s7) : 0.218198511783
		(s4,s10) : 0.0376780961951
		(s4,s11) : 0.101949738173
		(s4,h4) : 0.000100468681927
		(s5,s2) : 0.33900606606
		(s5,s7) : 0.145465756771
		(s5,s8) : 0.326164117343
		(s5,h5) : 8.54783709347e-05
		(s6,s2) : 0.197317520359
		(s6,s3) : 0.350603703161
		(s6,s7) : 0.232652344621
		(s6,h6) : 0.000282258991078
		(s7,s4) : 0.191148834758
		(s7,s5) : 0.108709354728
		(s7,s6) : 0.285767133935
		(s7,h7) : 0.000107291814461
		(s8,s5) : 0.278547227315
		(s8,s10) : 0.0785326467322
		(s8,h8) : 0.000321539256225
		(s9,s3) : 0.334685967242
		(s9,s12) : 0.264473824774
		(s9,h9) : 0.000343753377497
		(s10,s4) : 0.0274534592032
		(s10,s8) : 0.0671558849829
		(s10,s11) : 0.0387405515876
		(s10,h10) : 4.91805407355e-05
		(s11,s4) : 0.0836783586526
		(s11,s10) : 0.0301970050401
		(s11,h11) : 0.000140690289761
		(s12,s2) : 0.527418177153
		(s12,s9) : 0.331703405728
		(s12,h12) : 0.000357318260918
		(h1,s1) : 8.7406667769e-06
		(h2,s2) : 0.000235823258683
		(h3,s3) : 0.000131381012176
		(h4,s4) : 0.000156014375463
		(h5,s5) : 0.000141438464945
		(h6,s6) : 0.000291903830816
		(h7,s7) : 9.66005247086e-05
		(h8,s8) : 0.000285299127946
		(h9,s9) : 0.000456743766815
		(h10,s10) : 3.61226885418e-05
		(h11,s11) : 0.000113875363693
		(h12,s12) : 0.00059638532425
ecmp	19	
		(s1,s2) : 0.00791042508681
		(s1,h1) : 1.4051516369e-05
		(s2,s1) : 0.014051516369
		(s2,s5) : 0.299034873648
		(s2,s6) : 0.256873699692
		(s2,s12) : 0.324353223816
		(s2,h2) : 0.000285561299374
		(s3,s6) : 0.212073771432
		(s3,s9) : 0.154532018925
		(s3,h3) : 0.000446449946314
		(s4,s7) : 0.228231013359
		(s4,s10) : 0.0320675388723
		(s4,s11) : 0.10304539957
		(s4,h4) : 0.000117041272099
		(s5,s2) : 0.312276660062
		(s5,s7) : 0.140638380763
		(s5,s8) : 0.223617485252
		(s5,h5) : 8.7627265801e-05
		(s6,s2) : 0.174458958813
		(s6,s3) : 0.339058307384
		(s6,s7) : 0.234870023048
		(s6,h6) : 0.000264590076804
		(s7,s4) : 0.204036033311
		(s7,s5) : 0.0954668499115
		(s7,s6) : 0.289562673949
		(s7,h7) : 0.000114118870273
		(s8,s5) : 0.286308503944
		(s8,s10) : 0.0817529559003
		(s8,h8) : 0.000208094337682
		(s9,s3) : 0.350496182467
		(s9,s12) : 0.241191235557
		(s9,h9) : 0.000340948409786
		(s10,s4) : 0.0308444008479
		(s10,s8) : 0.0554642127189
		(s10,s11) : 0.0389937834608
		(s10,h10) : 5.00438664555e-05
		(s11,s4) : 0.0884928129531
		(s11,s10) : 0.0262222910507
		(s11,h11) : 0.000142039183031
		(s12,s2) : 0.493395079548
		(s12,s9) : 0.334982761816
		(s12,h12) : 0.000335465674549
		(h1,s1) : 7.91042508681e-06
		(h2,s2) : 0.000191833489388
		(h3,s3) : 0.00012350124682
		(h4,s4) : 0.000157011976788
		(h5,s5) : 8.33495643735e-05
		(h6,s6) : 0.000254467220977
		(h7,s7) : 9.94450102745e-05
		(h8,s8) : 0.000297074099556
		(h9,s9) : 0.00044312104707
		(h10,s10) : 3.53034776598e-05
		(h11,s11) : 0.000114715104004
		(h12,s12) : 0.00059829905654
ecmp	20	
		(s1,s2) : 0.00749437038352
		(s1,h1) : 1.42791374971e-05
		(s2,s1) : 0.0142791374971
		(s2,s5) : 0.354917046871
		(s2,s6) : 0.262304002887
		(s2,s12) : 0.338946495826
		(s2,h2) : 0.000291935326109
		(s3,s6) : 0.214648052529
		(s3,s9) : 0.150430482874
		(s3,h3) : 0.000461539684186
		(s4,s7) : 0.232310836928
		(s4,s10) : 0.0389421186597
		(s4,s11) : 0.106833277212
		(s4,h4) : 0.00012553572081
		(s5,s2) : 0.333343457467
		(s5,s7) : 0.153067325449
		(s5,s8) : 0.304135607862
		(s5,h5) : 7.73295561646e-05
		(s6,s2) : 0.17963052897
		(s6,s3) : 0.344348669499
		(s6,s7) : 0.244802852244
		(s6,h6) : 0.000260850896438
		(s7,s4) : 0.215307572823
		(s7,s5) : 0.104693108408
		(s7,s6) : 0.295655837763
		(s7,h7) : 0.000116688320388
		(s8,s5) : 0.26681092881
		(s8,s10) : 0.0831468037847
		(s8,h8) : 0.000296816575502
		(s9,s3) : 0.359448236475
		(s9,s12) : 0.26213136365
		(s9,h9) : 0.000341750597556
		(s10,s4) : 0.0326218019923
		(s10,s8) : 0.0676307930086
		(s10,s11) : 0.0402771049573
		(s10,h10) : 5.03809282184e-05
		(s11,s4) : 0.0806654088613
		(s11,s10) : 0.0275301105115
		(s11,h11) : 0.00014711038217
		(s12,s2) : 0.542383134613
		(s12,s9) : 0.344521409372
		(s12,h12) : 0.000350149863486
		(h1,s1) : 7.49437038352e-06
		(h2,s2) : 0.000199530517757
		(h3,s3) : 0.000122821313615
		(h4,s4) : 0.000175027169933
		(h5,s5) : 0.000141454862853
		(h6,s6) : 0.000257025053973
		(h7,s7) : 0.000102163824762
		(h8,s8) : 0.000275007907227
		(h9,s9) : 0.000468378305435
		(h10,s10) : 4.12915952206e-05
		(h11,s11) : 0.000108195519373
		(h12,s12) : 0.000635976547996
ecmp	21	
		(s1,s2) : 0.00523567886402
		(s1,h1) : 1.30985396306e-05
		(s2,s1) : 0.0130985396306
		(s2,s5) : 0.361660643264
		(s2,s6) : 0.261060894969
		(s2,s12) : 0.345552573055
		(s2,h2) : 0.000308265948097
		(s3,s6) : 0.201286809146
		(s3,s9) : 0.14061535274
		(s3,h3) : 0.000433583389421
		(s4,s7) : 0.20476834168
		(s4,s10) : 0.0357615670065
		(s4,s11) : 0.0943509371496
		(s4,h4) : 0.000117725817209
		(s5,s2) : 0.35321821396
		(s5,s7) : 0.154209843768
		(s5,s8) : 0.323529700539
		(s5,h5) : 7.32276515415e-05
		(s6,s2) : 0.176539543048
		(s6,s3) : 0.328002842218
		(s6,s7) : 0.22991862361
		(s6,h6) : 0.000262248888239
		(s7,s4) : 0.198188490358
		(s7,s5) : 0.0986143361031
		(s7,s6) : 0.273740390489
		(s7,h7) : 0.000111999336009
		(s8,s5) : 0.2794691126
		(s8,s10) : 0.0822141822437
		(s8,h8) : 0.000315642784015
		(s9,s3) : 0.340061069156
		(s9,s12) : 0.26574848108
		(s9,h9) : 0.000344599723692
		(s10,s4) : 0.0308661316832
		(s10,s8) : 0.0659237313966
		(s10,s11) : 0.0377211481664
		(s10,h10) : 5.12963851467e-05
		(s11,s4) : 0.0812127754589
		(s11,s10) : 0.0292798303068
		(s11,h11) : 0.000132072085316
		(s12,s2) : 0.550124893959
		(s12,s9) : 0.343767607833
		(s12,h12) : 0.00034267638209
		(h1,s1) : 5.23567886402e-06
		(h2,s2) : 0.000204520269185
		(h3,s3) : 0.000107421639934
		(h4,s4) : 0.000142339265545
		(h5,s5) : 0.000164441317841
		(h6,s6) : 0.000260621802509
		(h7,s7) : 9.36457439014e-05
		(h8,s8) : 0.000287872646923
		(h9,s9) : 0.000466026313355
		(h10,s10) : 3.8551816836e-05
		(h11,s11) : 0.000110492605766
		(h12,s12) : 0.000625267829746
ecmp	22	
		(s1,s2) : 0.00586484396457
		(s1,h1) : 1.79715159039e-05
		(s2,s1) : 0.0179715159039
		(s2,s5) : 0.357695895169
		(s2,s6) : 0.238274801504
		(s2,s12) : 0.343388946727
		(s2,h2) : 0.000336136899541
		(s3,s6) : 0.197861641943
		(s3,s9) : 0.161359875525
		(s3,h3) : 0.000439660110499
		(s4,s7) : 0.216743511657
		(s4,s10) : 0.0332201505452
		(s4,s11) : 0.0976504718264
		(s4,h4) : 0.000102977813967
		(s5,s2) : 0.318154679127
		(s5,s7) : 0.130428993485
		(s5,s8) : 0.304701456693
		(s5,h5) : 7.64459098726e-05
		(s6,s2) : 0.208806737624
		(s6,s3) : 0.341179539065
		(s6,s7) : 0.237257392164
		(s6,h6) : 0.000229276770627
		(s7,s4) : 0.187388151921
		(s7,s5) : 0.10626760186
		(s7,s6) : 0.26850917574
		(s7,h7) : 0.000117351837382
		(s8,s5) : 0.286099524572
		(s8,s10) : 0.0717933964406
		(s8,h8) : 0.000303891697625
		(s9,s3) : 0.338702950378
		(s9,s12) : 0.276501733809
		(s9,h9) : 0.000362545126552
		(s10,s4) : 0.0311844770362
		(s10,s8) : 0.0708705580731
		(s10,s11) : 0.0365249180048
		(s10,h10) : 4.20971563632e-05
		(s11,s4) : 0.0850825407604
		(s11,s10) : 0.0301015207171
		(s11,h11) : 0.000134175389831
		(s12,s2) : 0.55789208288
		(s12,s9) : 0.350236607591
		(s12,h12) : 0.000357312028234
		(h1,s1) : 5.86484396457e-06
		(h2,s2) : 0.000202749715249
		(h3,s3) : 0.000118999138524
		(h4,s4) : 0.000146936778277
		(h5,s5) : 7.96680175763e-05
		(h6,s6) : 0.000311874820292
		(h7,s7) : 9.50868695975e-05
		(h8,s8) : 0.000286212603872
		(h9,s9) : 0.000466153327624
		(h10,s10) : 4.55620417744e-05
		(h11,s11) : 0.000115184061477
		(h12,s12) : 0.000645550038169
ecmp	23	
		(s1,s2) : 0.00540992473563
		(s1,h1) : 1.88209102303e-05
		(s2,s1) : 0.0188209102303
		(s2,s5) : 0.341218433085
		(s2,s6) : 0.238010588757
		(s2,s12) : 0.32831333523
		(s2,h2) : 0.00026488809295
		(s3,s6) : 0.196798790966
		(s3,s9) : 0.159674062456
		(s3,h3) : 0.000449446212649
		(s4,s7) : 0.204174612355
		(s4,s10) : 0.034619114399
		(s4,s11) : 0.0889862365937
		(s4,h4) : 0.000107007263203
		(s5,s2) : 0.297053977367
		(s5,s7) : 0.128542282231
		(s5,s8) : 0.292171525449
		(s5,h5) : 7.42553455532e-05
		(s6,s2) : 0.190410161126
		(s6,s3) : 0.343321470941
		(s6,s7) : 0.231049167635
		(s6,h6) : 0.00024151690493
		(s7,s4) : 0.185263687736
		(s7,s5) : 0.0996605444534
		(s7,s6) : 0.2653334045
		(s7,h7) : 0.00010808887092
		(s8,s5) : 0.272137135226
		(s8,s10) : 0.0725607368755
		(s8,h8) : 0.000287197068234
		(s9,s3) : 0.34823416993
		(s9,s12) : 0.259687611957
		(s9,h9) : 0.000354311571047
		(s10,s4) : 0.027212385411
		(s10,s8) : 0.0598203185284
		(s10,s11) : 0.032473464989
		(s10,h10) : 4.82422914927e-05
		(s11,s4) : 0.0824648023313
		(s11,s10) : 0.0280577739908
		(s11,h11) : 0.000121459701583
		(s12,s2) : 0.515479939679
		(s12,s9) : 0.345576122552
		(s12,h12) : 0.00034519415155
		(h1,s1) : 5.40992473563e-06
		(h2,s2) : 0.000182897357345
		(h3,s3) : 0.0001143634252
		(h4,s4) : 0.000139846351072
		(h5,s5) : 7.9007017836e-05
		(h6,s6) : 0.000306154920409
		(h7,s7) : 9.45804453889e-05
		(h8,s8) : 0.000279903096358
		(h9,s9) : 0.000456983167926
		(h10,s10) : 3.25108351558e-05
		(h11,s11) : 0.000110522576322
		(h12,s12) : 0.000618249266595
ecmp	24	
		(s1,s2) : 0.00532865175357
		(s1,h1) : 1.86527063449e-05
		(s2,s1) : 0.0186527063449
		(s2,s5) : 0.313079220556
		(s2,s6) : 0.268885169461
		(s2,s12) : 0.340802277029
		(s2,h2) : 0.000299200292106
		(s3,s6) : 0.216021651626
		(s3,s9) : 0.15410883079
		(s3,h3) : 0.000451440448289
		(s4,s7) : 0.21204824042
		(s4,s10) : 0.0315949320296
		(s4,s11) : 0.0857734098154
		(s4,h4) : 0.00011141174107
		(s5,s2) : 0.315729912014
		(s5,s7) : 0.135924864197
		(s5,s8) : 0.239397082245
		(s5,h5) : 8.57152219887e-05
		(s6,s2) : 0.175182213742
		(s6,s3) : 0.335071108714
		(s6,s7) : 0.224482603629
		(s6,h6) : 0.000278046765849
		(s7,s4) : 0.186047995467
		(s7,s5) : 0.092922019942
		(s7,s6) : 0.278129418178
		(s7,h7) : 0.000114840791638
		(s8,s5) : 0.295698726881
		(s8,s10) : 0.0766912393429
		(s8,h8) : 0.00022442092672
		(s9,s3) : 0.36104987065
		(s9,s12) : 0.266592018803
		(s9,h9) : 0.00035396596176
		(s10,s4) : 0.0333410388231
		(s10,s8) : 0.0576232576453
		(s10,s11) : 0.0327464414198
		(s10,h10) : 5.25156530589e-05
		(s11,s4) : 0.0807255496498
		(s11,s10) : 0.0245666601592
		(s11,h11) : 0.000118519851235
		(s12,s2) : 0.514393289884
		(s12,s9) : 0.350449130263
		(s12,h12) : 0.000353351813629
		(h1,s1) : 5.32865175357e-06
		(h2,s2) : 0.000229985598102
		(h3,s3) : 0.000125449951341
		(h4,s4) : 0.000140713739395
		(h5,s5) : 7.50671130667e-05
		(h6,s6) : 0.000249746452669
		(h7,s7) : 9.94845169783e-05
		(h8,s8) : 0.000299790553053
		(h9,s9) : 0.00047704989016
		(h10,s10) : 4.33735594153e-05
		(h11,s11) : 0.000105292209809
		(h12,s12) : 0.000610799937944
ecmp	25	
		(s1,s2) : 0.00964927367371
		(s1,h1) : 1.87588574986e-05
		(s2,s1) : 0.0187588574986
		(s2,s5) : 0.330060786236
		(s2,s6) : 0.26981247983
		(s2,s12) : 0.350854048033
		(s2,h2) : 0.000303615933483
		(s3,s6) : 0.2130463435
		(s3,s9) : 0.156816567729
		(s3,h3) : 0.000457122837057
		(s4,s7) : 0.223719268408
		(s4,s10) : 0.0315534542253
		(s4,s11) : 0.0871456440869
		(s4,h4) : 0.000117777181293
		(s5,s2) : 0.325237969599
		(s5,s7) : 0.141924304184
		(s5,s8) : 0.248524965581
		(s5,h5) : 9.43335411201e-05
		(s6,s2) : 0.177527898931
		(s6,s3) : 0.337345534613
		(s6,s7) : 0.229795224758
		(s6,h6) : 0.000269037923341
		(s7,s4) : 0.190822796631
		(s7,s5) : 0.0989589290651
		(s7,s6) : 0.286354830795
		(s7,h7) : 0.000122498747508
		(s8,s5) : 0.29829689429
		(s8,s10) : 0.0764112416275
		(s8,h8) : 0.000236322715282
		(s9,s3) : 0.362682631612
		(s9,s12) : 0.269561063747
		(s9,h9) : 0.000363637345359
		(s10,s4) : 0.0328099252036
		(s10,s8) : 0.0601518208617
		(s10,s11) : 0.033522816019
		(s10,h10) : 4.91792672823e-05
		(s11,s4) : 0.0852123588488
		(s11,s10) : 0.0263748024239
		(s11,h11) : 0.000120668460106
		(s12,s2) : 0.537902590136
		(s12,s9) : 0.365185078557
		(s12,h12) : 0.000365534439509
		(h1,s1) : 9.64927367371e-06
		(h2,s2) : 0.000222784372742
		(h3,s3) : 0.000126957582061
		(h4,s4) : 0.000151350467329
		(h5,s5) : 8.27041708926e-05
		(h6,s6) : 0.000244492927516
		(h7,s7) : 0.000103196506649
		(h8,s8) : 0.000302354064758
		(h9,s9) : 0.000473879394432
		(h10,s10) : 4.13243310899e-05
		(h11,s11) : 0.000111587161273
		(h12,s12) : 0.000648206996422
ecmp	26	
		(s1,s2) : 0.0128885668566
		(s1,h1) : 1.86188234389e-05
		(s2,s1) : 0.0186188234389
		(s2,s5) : 0.354214916983
		(s2,s6) : 0.269116050845
		(s2,s12) : 0.368201663097
		(s2,h2) : 0.000295413908859
		(s3,s6) : 0.214764405539
		(s3,s9) : 0.155583161612
		(s3,h3) : 0.000445821119845
		(s4,s7) : 0.218583247885
		(s4,s10) : 0.0320063924293
		(s4,s11) : 0.0906927226401
		(s4,h4) : 0.000108068002462
		(s5,s2) : 0.360323329903
		(s5,s7) : 0.149066830472
		(s5,s8) : 0.271278473301
		(s5,h5) : 0.000118037803595
		(s6,s2) : 0.180400418031
		(s6,s3) : 0.331961478541
		(s6,s7) : 0.223685865348
		(s6,h6) : 0.000281881179834
		(s7,s4) : 0.183424709878
		(s7,s5) : 0.105986816399
		(s7,s6) : 0.287878442519
		(s7,h7) : 0.000115720649809
		(s8,s5) : 0.329915276269
		(s8,s10) : 0.0772650041564
		(s8,h8) : 0.000263624116505
		(s9,s3) : 0.352735141292
		(s9,s12) : 0.280512422696
		(s9,h9) : 0.000364377601742
		(s10,s4) : 0.0313282316675
		(s10,s8) : 0.0608709287395
		(s10,s11) : 0.0368054801557
		(s10,h10) : 4.41520987004e-05
		(s11,s4) : 0.0767505197972
		(s11,s10) : 0.0253803370397
		(s11,h11) : 0.000127498202796
		(s12,s2) : 0.551139117653
		(s12,s9) : 0.363113907774
		(s12,h12) : 0.000381372655134
		(h1,s1) : 1.28885668566e-05
		(h2,s2) : 0.00020081393078
		(h3,s3) : 0.000131472067162
		(h4,s4) : 0.000157846904074
		(h5,s5) : 0.00010858942762
		(h6,s6) : 0.000246170042853
		(h7,s7) : 0.000101674674898
		(h8,s8) : 0.00033865499489
		(h9,s9) : 0.000478928096344
		(h10,s10) : 3.85050056378e-05
		(h11,s11) : 0.000102130856837
		(h12,s12) : 0.000646911594768
ecmp	27	
		(s1,s2) : 0.0105460139935
		(s1,h1) : 2.09882435699e-05
		(s2,s1) : 0.0209882435699
		(s2,s5) : 0.380445903643
		(s2,s6) : 0.273480756312
		(s2,s12) : 0.341341967906
		(s2,h2) : 0.000247209742591
		(s3,s6) : 0.219204772885
		(s3,s9) : 0.153723806888
		(s3,h3) : 0.000453551471407
		(s4,s7) : 0.215654762826
		(s4,s10) : 0.0354272422443
		(s4,s11) : 0.0978908475571
		(s4,h4) : 0.000122176369627
		(s5,s2) : 0.299433664473
		(s5,s7) : 0.142243017136
		(s5,s8) : 0.316474684675
		(s5,h5) : 8.64586745451e-05
		(s6,s2) : 0.191357086185
		(s6,s3) : 0.332829085911
		(s6,s7) : 0.252829967046
		(s6,h6) : 0.000291493257309
		(s7,s4) : 0.204616037417
		(s7,s5) : 0.106030285565
		(s7,s6) : 0.276783790522
		(s7,h7) : 0.000122801059733
		(s8,s5) : 0.275954527913
		(s8,s10) : 0.0747466302158
		(s8,h8) : 0.000314301497961
		(s9,s3) : 0.371526127557
		(s9,s12) : 0.271824708084
		(s9,h9) : 0.000341548864543
		(s10,s4) : 0.0329177103689
		(s10,s8) : 0.0663086309615
		(s10,s11) : 0.0360066096153
		(s10,h10) : 4.40318241044e-05
		(s11,s4) : 0.078199216914
		(s11,s10) : 0.0268881316566
		(s11,h11) : 0.000133897457172
		(s12,s2) : 0.569628221542
		(s12,s9) : 0.349008159091
		(s12,h12) : 0.000373951193467
		(h1,s1) : 1.05460139935e-05
		(h2,s2) : 0.000192501627828
		(h3,s3) : 0.000122124837712
		(h4,s4) : 0.000155416257555
		(h5,s5) : 8.21793237081e-05
		(h6,s6) : 0.000299040076733
		(h7,s7) : 9.9503426229e-05
		(h8,s8) : 0.000282219340454
		(h9,s9) : 0.000482167734205
		(h10,s10) : 4.22027709335e-05
		(h11,s11) : 0.000105087348571
		(h12,s12) : 0.00067942089811
ecmp	28	
		(s1,s2) : 0.00937392828364
		(s1,h1) : 1.90542290459e-05
		(s2,s1) : 0.0190542290459
		(s2,s5) : 0.369782703618
		(s2,s6) : 0.266104822084
		(s2,s12) : 0.325204444006
		(s2,h2) : 0.000291464910284
		(s3,s6) : 0.21272854507
		(s3,s9) : 0.157631520679
		(s3,h3) : 0.000475710052078
		(s4,s7) : 0.230714847901
		(s4,s10) : 0.0375569399943
		(s4,s11) : 0.100119715283
		(s4,h4) : 0.000115535711025
		(s5,s2) : 0.316548931555
		(s5,s7) : 0.146228443285
		(s5,s8) : 0.310708227952
		(s5,h5) : 8.50998746852e-05
		(s6,s2) : 0.192366887186
		(s6,s3) : 0.355831884419
		(s6,s7) : 0.247953393161
		(s6,h6) : 0.000276484179695
		(s7,s4) : 0.200283944706
		(s7,s5) : 0.107202897324
		(s7,s6) : 0.29313904343
		(s7,h7) : 0.000123486212492
		(s8,s5) : 0.289347826989
		(s8,s10) : 0.0783310596147
		(s8,h8) : 0.000308413294752
		(s9,s3) : 0.37226556614
		(s9,s12) : 0.26143410777
		(s9,h9) : 0.000357236321966
		(s10,s4) : 0.0294696234911
		(s10,s8) : 0.0657257932689
		(s10,s11) : 0.0374333880593
		(s10,h10) : 4.72325411439e-05
		(s11,s4) : 0.0878114935342
		(s11,s10) : 0.02982941351
		(s11,h11) : 0.000137553103343
		(s12,s2) : 0.572887451946
